,duration,title,url,username,views
0,14:29.,Blind Chicken Wing Taste Test,https://www.youtube.com/watch?v=MBPdKxlazD0,Good Mythical Morning,"1,311,609"
1,2:37.,Alita: Battle Angel | Official Trailer [HD] | 20th Century FOX,https://www.youtube.com/watch?v=w7pYhpJaJW8,20th Century Fox,"2,522,393"
2,4:55.,Sara Haines Announces She's Leaving 'The View' To Host 'GMA Day',https://www.youtube.com/watch?v=f3uVr2bZKUU,The View,"374,462"
3,1:31.,"5 things you need to know before tonight's Raw: July 23, 2018",https://www.youtube.com/watch?v=tgBHu2D66Rg,WWE,"255,721"
4,18:32.,Game Theory: We Were Right ALL ALONG! (FNAF Ultimate Custom Night),https://www.youtube.com/watch?v=PV9jdolesMI,The Game Theorists,"3,679,156"
5,2:26.,Aquaman - Official Trailer 1,https://www.youtube.com/watch?v=WDkg3h8PCVU,Warner Bros. Pictures,"22,887,552"
6,12:36.,SIDEMEN BOWLING (GONE WRONG),https://www.youtube.com/watch?v=QUYLG94VWb4,Sidemen,"2,616,183"
7,19:36.,"MY AMAZON FAVORITES! Fitness, Lifestyle & Random MUST HAVES! | Casey Holmes",https://www.youtube.com/watch?v=5MtfYjLjyGg,Casey Holmes,"176,589"
8,10:27.,What is Dog Water Fountain?,https://www.youtube.com/watch?v=vumMdSybdQg,CrazyRussianHacker,"637,961"
9,3:14.,SHAZAM! Trailer (2019),https://www.youtube.com/watch?v=-oD7B7oiBtw,FilmSelect Trailer,"10,885,940"
10,18:44.,IS DRIFT EVIL IN FORTNITE?! * SEASON 5 *Fortnite Short Film,https://www.youtube.com/watch?v=wQ1CWUWivjQ,Little Lizard - Fortnite,"961,913"
11,7:02.,It’s BIG...it’s BLUE...it’s NEW!,https://www.youtube.com/watch?v=PQIq4BUw_Hs,Brave Wilderness,"617,392"
12,12:45.,PEOPLE WHO THOUGHT THEY WERE SMART,https://www.youtube.com/watch?v=rV0vcfT8WQs,SSSniperWolf,"1,221,870"
13,10:02.,DOG VS GOAT GYMNASTICS CHALLENGE! (super funny),https://www.youtube.com/watch?v=Yn60wQvKhaY,Dobre Brothers,"1,639,038"
14,1:54.,Disenchantment | Official Trailer [HD] | Netflix,https://www.youtube.com/watch?v=Gp_RnJcb8Ig,Netflix,"1,502,425"
15,2:53.,Glass - Official Trailer [HD],https://www.youtube.com/watch?v=95ghQs5AmNk,Universal Pictures,"7,361,836"
16,19:24.,Unboxing A Fortnite Package from Epic Games!,https://www.youtube.com/watch?v=R30dTNfBi2I,Lachlan,"3,872,826"
17,10:02.,Dwight and Angela  - The Office US,https://www.youtube.com/watch?v=bATPXjOKebI,The Office US,"282,084"
18,12:32.,3 Disturbing True Mall Horror Stories,https://www.youtube.com/watch?v=FrGRFdDzkFM,Mr. Nightmare,"876,970"
19,5:17.,I Was Harassed By My Students For Being Gay,https://www.youtube.com/watch?v=nrAla4j8xMc,BuzzFeedVideo,"464,538"
20,6:21.,Judge Jeanine on her explosive exchange on 'The View',https://www.youtube.com/watch?v=PEMk1WWO3gg,Fox News,"957,493"
21,10:06.,Cardboard Guitar!? (Dear Ryan),https://www.youtube.com/watch?v=CGNi4Ca7XVU,nigahiga,"2,522,888"
22,7:57.,Mystery Wheel of Pizza (ft. Alex Wassabi),https://www.youtube.com/watch?v=wd9Ja4evrHc,Guava Juice,"1,064,554"
23,1:18.,What If All Advertisement Disappears?,https://www.youtube.com/watch?v=oWm1hWXlgQs,Meet Arnold,"1,770,038"
24,5:05.,YOUNG JUSTICE: OUTSIDERS - Official Comic-Con Trailer - DC Universe,https://www.youtube.com/watch?v=YHEU6WBpHMc,DC,"1,633,596"
25,35:44.,MY ZODIAC COLLECTION WITH COLOURPOP!!!!!!!! #TheZodiac,https://www.youtube.com/watch?v=E7eBb3qGuvY,KathleenLights,"769,586"
26,10:37.,GIANT DART Vs. GIANT ICE BLOCK from 45m!,https://www.youtube.com/watch?v=h4j_pxyQIak,How Ridiculous,"1,914,216"
27,10:10.,ELDERS REACT TO ARIANA GRANDE - GOD IS A WOMAN,https://www.youtube.com/watch?v=sel-yV46B0A,FBE,"982,254"
28,14:20.,Bold and Natural Makeup Tutorial,https://www.youtube.com/watch?v=k5dxFyN73Pk,Christen Dominique,"250,609"
29,2:52.,Anitta - Medicina (Official Music Video),https://www.youtube.com/watch?v=UhurAzTl5gs,Anitta,"18,975,960"
30,7:54.,RENOVATED APARTMENT TOUR (BEFORE AND AFTER),https://www.youtube.com/watch?v=u1fa0c0ImGQ,Jess Conte,"624,434"
31,8:49.,Denzel Washington's Dinner Table Has Seen Some Legends,https://www.youtube.com/watch?v=V9p1k5wAVvU,The Late Show with Stephen Colbert,"755,488"
32,5:41:00.,Fortnite Summer Skirmish Series | Week 2 (Day 1),https://www.youtube.com/watch?v=6VLqdY6rvZk,Fortnite,"906,786"
